#idx, dt(s),dx(m),dy(m),dtheta(m)
0, 0.100003, 0.539048, 0.000000, 0.003885
1, 0.110170, 0.591660, 0.000000, 0.001212
2, 0.100055, 0.535652, 0.000000, 0.001757
3, 0.099762, 0.533711, 0.000000, 0.001893
4, 0.110062, 0.592007, 0.000000, 0.001585
5, 0.099929, 0.543806, 0.000000, 0.001307
6, 0.110189, 0.608328, 0.000000, 0.001426
7, 0.099840, 0.558946, 0.000000, 0.001100
8, 0.109965, 0.624194, 0.000000, 0.001292
9, 0.099992, 0.576144, 0.000000, 0.001179
10, 0.100008, 0.585754, 0.000000, 0.001242
11, 0.110072, 0.658090, 0.000000, 0.001291
12, 0.099928, 0.611466, 0.000000, 0.001045
13, 0.109984, 0.688219, 0.000000, 0.000804
14, 0.100011, 0.638305, 0.000000, 0.000695
15, 0.100009, 0.649969, 0.000000, 0.001311
16, 0.110041, 0.730965, 0.000000, 0.000953
17, 0.099911, 0.680385, 0.000000, 0.000886
18, 0.110023, 0.770513, 0.000000, 0.001316
19, 0.100021, 0.720287, 0.000000, 0.000364
20, 0.109952, 0.810913, 0.000000, 0.000431
21, 0.100056, 0.754314, 0.000000, 0.000403
22, 0.099948, 0.769328, 0.000000, 0.000174
23, 0.110022, 0.865978, 0.000000, -0.000344
24, 0.099989, 0.804262, 0.000000, -0.000531
25, 0.110066, 0.903124, 0.000000, -0.001113
26, 0.100030, 0.836906, 0.000000, -0.000635
27, 0.109939, 0.937957, 0.000000, -0.001156
28, 0.099927, 0.868506, 0.000000, -0.000207
29, 0.100019, 0.883598, 0.000000, 0.000264
30, 0.110138, 0.987832, 0.000000, -0.000020
31, 0.099885, 0.908199, 0.000000, -0.000099
32, 0.109976, 1.012493, 0.000000, 0.000086
33, 0.100019, 0.930849, 0.000000, -0.000066
34, 0.109992, 1.033175, 0.000000, 0.000250
35, 0.100222, 0.949344, 0.000000, 0.000183
36, 0.099751, 0.952479, 0.000000, 0.000355
37, 0.110007, 1.059490, 0.000000, 0.000330
38, 0.099977, 0.970705, 0.000000, 0.000347
39, 0.110024, 1.076289, 0.000000, 0.000053
40, 0.100031, 0.986286, 0.000000, 0.000187
41, 0.099961, 0.993407, 0.000000, 0.000305
42, 0.110027, 1.102224, 0.000000, 0.000709
