%time field.header.seq field.header.stamp field.header.frame_id field.status.status field.status.service field.latitude field.longitude field.altitude field.position_covariance0 field.position_covariance1 field.position_covariance2 field.position_covariance3 field.position_covariance4 field.position_covariance5 field.position_covariance6 field.position_covariance7 field.position_covariance8 field.position_covariance_type
1317065162154764890 0 1317065162154764890 imu_link 0 1 49.001294841471 8.4597240869032 121.97145843506 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065162254658937 0 1317065162254658937 imu_link 0 1 49.0012951379 8.4597245054543 121.94879150391 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065162354669094 0 1317065162354669094 imu_link 0 1 49.00129532038 8.459724762432 121.93461608887 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065162464709043 0 1317065162464709043 imu_link 0 1 49.001295522542 8.4597250508157 121.91911315918 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065162564723014 0 1317065162564723014 imu_link 0 1 49.001295646628 8.459725228409 121.90944671631 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065162664904117 0 1317065162664904117 imu_link 0 1 49.001295785714 8.4597254244862 121.89827728271 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065162774734973 0 1317065162774734973 imu_link 0 1 49.001296010796 8.4597257312596 121.88188934326 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065162874733924 0 1317065162874733924 imu_link 0 1 49.001296149451 8.4597259216175 121.87219238281 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065162974729061 0 1317065162974729061 imu_link 0 1 49.001296313432 8.4597261419762 121.86154937744 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065163084731101 0 1317065163084731101 imu_link 0 1 49.001296425951 8.4597262804761 121.85474395752 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065163184813976 0 1317065163184813976 imu_link 0 1 49.001296645806 8.459726525377 121.84320068359 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065163284739971 0 1317065163284739971 imu_link 0 1 49.001296800702 8.4597266974767 121.83471679688 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065163394743919 0 1317065163394743919 imu_link 0 1 49.001296978664 8.4597268903301 121.82524871826 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065163494762897 0 1317065163494762897 imu_link 0 1 49.001297091595 8.4597270128165 121.81925964355 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065163604809999 0 1317065163604809999 imu_link 0 1 49.001297219631 8.4597271504789 121.81229400635 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065163704807043 0 1317065163704807043 imu_link 0 1 49.001297324473 8.4597272415218 121.8069152832 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065163804791927 0 1317065163804791927 imu_link 0 1 49.001297426455 8.4597273220798 121.80113983154 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065163904766082 0 1317065163904766082 imu_link 0 1 49.001297546081 8.4597274189128 121.79463195801 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164014786958 0 1317065164014786958 imu_link 0 1 49.001297602844 8.4597274649874 121.7911605835 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164114758014 0 1317065164114758014 imu_link 0 1 49.001297673638 8.4597275193495 121.78614044189 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164224845886 0 1317065164224845886 imu_link 0 1 49.001297757563 8.4597275682858 121.7813873291 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164324821949 0 1317065164324821949 imu_link 0 1 49.001297893954 8.459727636855 121.77667999268 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164424833059 0 1317065164424833059 imu_link 0 1 49.00129798558 8.4597276739208 121.77364349365 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164534794092 0 1317065164534794092 imu_link 0 1 49.00129807297 8.4597277115389 121.77010345459 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164635011911 0 1317065164635011911 imu_link 0 1 49.001298137034 8.4597277289774 121.76671600342 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164734847068 0 1317065164734847068 imu_link 0 1 49.00129822698 8.459727749484 121.76308441162 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164844993114 0 1317065164844993114 imu_link 0 1 49.001298333452 8.4597277835442 121.75959777832 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065164944837093 0 1317065164944837093 imu_link 0 1 49.001298410573 8.4597278104924 121.7571105957 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065165044864892 0 1317065165044864892 imu_link 0 1 49.001298506274 8.4597278468954 121.75411987305 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
1317065165155108928 0 1317065165155108928 imu_link 0 1 49.001298585726 8.4597278761987 121.7513961792 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
