#time(s),x(m),y(m),theta(m)
1317398079339673995, 0.000000,-0.000000,0.000000
1317398079449843883, 3730.003387,-2270.626893,-2.981928
1317398079549899101, 3689.073517,-2278.196595,-2.807146
1317398079649661064, 3648.111629,-2285.742069,-2.632687
1317398079759722948, 3602.535133,-2294.039264,-2.440042
1317398079859652042, 3560.481278,-2301.914035,-2.265003
1317398079969841003, 3513.675056,-2310.819943,-2.071834
1317398080069680929, 3470.606815,-2319.201729,-1.896699
1317398080179646015, 3422.334728,-2328.513820,-1.703660
1317398080279638051, 3377.777711,-2337.310668,-1.528010
1317398080379646062, 3332.283306,-2346.238369,-1.352208
1317398080489717960, 3281.155292,-2356.311118,-1.158573
1317398080589646100, 3233.407073,-2365.782435,-0.982678
1317398080699630022, 3179.555046,-2376.480480,-0.788994
1317398080799640893, 3129.445948,-2386.398990,-0.612804
1317398080899650096, 3078.388229,-2396.611613,-0.436485
1317398081009690999, 3020.941342,-2408.322778,-0.242375
1317398081109601974, 2967.309982,-2419.027801,-0.066046
1317398081219624996, 2906.456820,-2430.736693,0.128275
1317398081319645881, 2849.500317,-2441.295268,0.304966
1317398081429598093, 2785.222772,-2453.341892,0.499249
1317398081529654026, 2725.480620,-2464.742234,0.676086
1317398081629601955, 2664.388523,-2476.268238,0.852749
1317398081739624023, 2595.363658,-2489.556297,1.047181
1317398081839612960, 2531.510304,-2501.320567,1.223830
1317398081949678897, 2459.667522,-2514.330003,1.418158
1317398082049709081, 2393.120897,-2525.927419,1.594705
1317398082159647941, 2318.000118,-2539.724771,1.788612
1317398082259574890, 2248.378110,-2552.278734,1.964840
1317398082359594106, 2177.123449,-2565.219400,2.141257
1317398082469732046, 2097.156043,-2579.665983,2.335519
1317398082569617033, 2023.066572,-2593.350120,2.511688
1317398082679593086, 1939.656242,-2608.226456,2.705663
1317398082779612064, 1863.351807,-2622.306751,2.882070
1317398082889604091, 1778.753409,-2637.976095,3.076094
1317398082989825963, 1701.035155,-2652.418277,-3.030283
1317398083089576959, 1622.651651,-2667.041998,-2.854270
1317398083199584007, 1535.495561,-2683.326591,-2.660124
1317398083299561023, 1455.460128,-2698.335134,-2.483645
1317398083409584999, 1366.543496,-2714.999609,-2.289425
1317398083509615898, 1284.944462,-2730.387388,-2.112827
1317398083609576940, 1202.694594,-2745.932463,-1.936322
1317398083719604015, 1111.174114,-2763.131305,-1.741964
1317398083819546937, 1027.200914,-2779.008706,-1.565387
1317398083929575920, 933.900084,-2796.715560,-1.370929
1317398084029737949, 848.662880,-2813.118500,-1.193858
1317398084139569997, 753.893641,-2830.627110,-0.999649
1317398084239552021, 667.243427,-2846.087638,-0.822824
1317398084339576005, 580.358280,-2862.368351,-0.645875
1317398084449598073, 484.773593,-2880.568392,-0.451149
1317398084549599885, 397.759363,-2897.376091,-0.274101
1317398084659543037, 302.068608,-2915.961749,-0.079394
1317398084759555101, 215.291547,-2933.292945,0.097765
1317398084869721889, 119.879293,-2952.687276,0.292924
1317398084969672918, 32.476367,-2970.274979,0.470003
1317398085069590091, -55.386108,-2987.797703,0.647003
1317398085179549932, -152.255165,-3007.100093,0.841775
1317398085279772996, -240.681497,-3024.475759,1.019289
1317398085389530897, -338.005324,-3043.750391,1.213654
1317398085489763975, -426.684116,-3061.324811,1.391104
1317398085589530944, -515.202422,-3078.985901,1.567723
1317398085699522018, -613.045314,-3098.487499,1.762427
1317398085799509048, -701.606278,-3116.643157,1.939417
1317398085909544944, -799.715265,-3136.290796,2.134175
1317398086009665012, -888.887584,-3154.456399,2.311363
1317398086119570016, -988.105569,-3174.184920,2.505861
1317398086219512939, -1078.490247,-3192.379167,2.682699
1317398086319509029, -1169.238389,-3210.327734,2.859613
1317398086429521083, -1269.133019,-3229.797321,3.054209
1317398086529572010, -1360.228048,-3247.309702,-3.052008
1317398086639507055, -1460.638918,-3266.847886,-2.857545
1317398086739523887, -1552.371280,-3284.679921,-2.680630
1317398086839589118, -1644.468389,-3302.564957,-2.503673
1317398086949579000, -1746.142100,-3322.611915,-2.309272
1317398087049614906, -1838.719900,-3340.633603,-2.132474
1317398087159513950, -1940.496035,-3360.142660,-1.938228
1317398087259489059, -2033.373671,-3377.862694,-1.761543
1317398087369647026, -2135.614736,-3397.358768,-1.566832
1317398087469645023, -2228.566196,-3415.281730,-1.390054
1317398087569519996, -2321.168381,-3433.440302,-1.213429
1317398087679558992, -2423.092244,-3453.360959,-1.018763
1317398087779481887, -2515.409083,-3471.704828,-0.841943
1317398087889482975, -2617.191951,-3491.966520,-0.647211
1317398087989665985, -2709.465960,-3510.790641,-0.469806
1317398088089498043, -2801.967252,-3529.570477,-0.292964
1317398088199479103, -2903.563569,-3550.278223,-0.098070
1317398088299508094, -2995.945940,-3568.990599,0.079230
1317398088409467935, -3097.190403,-3589.527781,0.274194
1317398088509558916, -3188.939478,-3608.090379,0.451721
1317398088619462966, -3288.932690,-3628.367395,0.646709
1317398088719444036, -3378.914950,-3646.540681,0.824157
1317398088819473028, -3467.826905,-3664.640248,1.001749
1317398088929492950, -3563.938095,-3684.461169,1.197133
1317398089029623031, -3649.799812,-3702.238640,1.375042
1317398089139467000, -3742.207095,-3721.731914,1.570447
1317398089239500045, -3824.528642,-3739.040202,1.748710
1317398089339464902, -3904.873372,-3756.353277,1.927185
1317398089449558973, -3991.322829,-3775.102552,2.124103
1317398089549647092, -4067.828019,-3792.367181,2.303433
1317398089659482955, -4149.632458,-3810.980742,2.500584
1317398089759433984, -4221.889041,-3827.996053,2.680276
1317398089869589090, -4298.877018,-3846.261730,2.878636
1317398089969526052, -4366.449034,-3862.900523,3.058835
1317398090069453954, -4431.479598,-3879.061620,-3.043900
1317398090179425954, -4500.223359,-3896.323706,-2.845011
1317398090279436111, -4560.084623,-3911.520040,-2.663894
1317398090389451026, -4623.033907,-3927.549207,-2.464403
1317398090489729881, -4677.714654,-3941.578499,-2.282467
1317398090589430093, -4730.178850,-3955.280382,-2.101642
1317398090699426889, -4785.904001,-3969.927265,-1.902452
1317398090799473047, -4834.722389,-3982.534769,-1.721781
1317398090909435033, -4886.337716,-3995.354896,-1.524033
1317398091009524106, -4931.486820,-4006.145241,-1.344944
1317398091119411945, -4979.304132,-4017.341541,-1.149676
1317398091219418048, -5020.902693,-4026.601541,-0.973243
1317398091329417943, -5065.228607,-4035.721001,-0.780927
1317398091429425001, -5104.806549,-4043.197003,-0.607790
1317398091529438972, -5143.971532,-4049.940682,-0.436641
1317398091639468908, -5186.570058,-4056.141737,-0.251158
1317398091739422082, -5224.993397,-4060.763920,-0.085252
1317398091849543094, -5266.529156,-4064.550501,0.094067
1317398091949455976, -5304.019115,-4066.803179,0.253668
1317398092059441089, -5344.795606,-4067.893192,0.425203
1317398092159377098, -5381.669545,-4067.558519,0.577338
1317398092269391059, -5421.654217,-4065.582349,0.740053
1317398092369493961, -5457.618901,-4062.614770,0.883985
1317398092469645977, -5493.155602,-4058.419322,1.023544
1317398092579394102, -5531.712901,-4051.945374,1.170956
1317398092679374933, -5566.137249,-4044.133850,1.300624
1317398092789361000, -5603.254640,-4033.904843,1.437479
1317398092889386892, -5636.259973,-4022.961610,1.557178
1317398092999448060, -5672.054342,-4009.280160,1.683072
1317398093099374055, -5704.336024,-3995.380843,1.792438
