#time(s),x(m),y(m),theta(m)
1317398079339673995, 0.000000,-0.000000,0.000000
1317398079449843883, -62.808543,6.610439,-1.018515
1317398079549899101, -58.104709,7.484359,-0.843733
1317398079649661064, -53.499550,8.337299,-0.669274
1317398079759722948, -48.502119,9.261206,-0.476630
1317398079859652042, -43.997091,10.124281,-0.301590
1317398079969841003, -39.111743,11.088155,-0.108422
1317398080069680929, -34.723660,11.979318,0.066714
1317398080179646015, -29.937111,12.956549,0.259753
1317398080279638051, -25.629794,13.863746,0.435403
1317398080379646062, -21.342821,14.773241,0.611205
1317398080489717960, -16.661949,15.790102,0.804840
1317398080589646100, -12.407814,16.733390,0.980735
1317398080699630022, -7.751124,17.786716,1.174419
1317398080799640893, -3.540916,18.747031,1.350609
1317398080899650096, 0.625204,19.720542,1.526928
1317398081009690999, 5.163660,20.822619,1.721038
1317398081109601974, 9.274380,21.818832,1.897367
1317398081219624996, 13.783634,22.908152,2.091688
1317398081319645881, 17.864575,23.883281,2.268379
1317398081429598093, 22.306984,24.978792,2.462662
1317398081529654026, 26.292903,25.992999,2.639499
1317398081629601955, 30.226765,27.005227,2.816162
1317398081739624023, 34.498425,28.149433,3.010594
1317398081839612960, 38.297241,29.155726,-3.095943
1317398081949678897, 42.399829,30.256374,-2.901614
1317398082049709081, 46.043470,31.229873,-2.725068
1317398082159647941, 49.970481,32.346163,-2.531160
1317398082259574890, 53.447147,33.344367,-2.354933
1317398082359594106, 56.845405,34.347299,-2.178515
1317398082469732046, 60.466492,35.443435,-1.984253
1317398082569617033, 63.648013,36.441585,-1.808085
1317398082679593086, 67.033596,37.511804,-1.614109
1317398082779612064, 69.955682,38.481369,-1.437702
1317398082889604091, 72.998821,39.529133,-1.243678
1317398082989825963, 75.616799,40.461495,-1.066870
1317398083089576959, 78.085485,41.373077,-0.890858
1317398083199584007, 80.629121,42.357415,-0.696712
1317398083299561023, 82.783634,43.228177,-0.520232
1317398083409584999, 84.973867,44.162707,-0.326013
1317398083509615898, 86.799639,44.988462,-0.149414
1317398083609576940, 88.464686,45.791339,0.027091
1317398083719604015, 90.111500,46.648708,0.221449
1317398083819546937, 91.435119,47.400860,0.398026
1317398083929575920, 92.698234,48.202572,0.592484
1317398084029737949, 93.664086,48.903187,0.769555
1317398084139569997, 94.528571,49.635525,0.963763
1317398084239552021, 95.128893,50.263187,1.140588
1317398084339576005, 95.550036,50.863226,1.317538
1317398084449598073, 95.803237,51.486128,1.512264
1317398084549599885, 95.845180,52.012093,1.689311
1317398084659543037, 95.683360,52.550793,1.884019
1317398084759555101, 95.350296,52.999689,2.061178
1317398084869721889, 94.778570,53.454760,2.256337
1317398084969672918, 94.071309,53.830713,2.433416
1317398085069590091, 93.183674,54.171773,2.610416
1317398085179549932, 92.000824,54.507939,2.805188
1317398085279772996, 90.732300,54.775251,2.982701
1317398085389530897, 89.129267,55.024327,-3.106118
1317398085489763975, 87.480470,55.210301,-2.928669
1317398085589530944, 85.660637,55.356179,-2.752050
1317398085699522018, 83.449012,55.476863,-2.557345
1317398085799509048, 81.265366,55.536277,-2.380355
1317398085909544944, 78.644920,55.571881,-2.185598
1317398086009665012, 76.081435,55.558231,-2.008409
1317398086119570016, 73.027443,55.512475,-1.813911
1317398086219512939, 70.062687,55.423788,-1.637073
1317398086319509029, 66.912220,55.307251,-1.460160
1317398086429521083, 63.243925,55.152136,-1.265564
1317398086529572010, 59.715021,54.980394,-1.088596
1317398086639507055, 55.622765,54.743307,-0.894132
1317398086739523887, 51.698452,54.486940,-0.717217
1317398086839589118, 47.583237,54.195341,-0.540261
1317398086949579000, 42.841622,53.820613,-0.345859
1317398087049614906, 38.346811,53.451158,-0.169061
1317398087159513950, 33.206570,53.022150,0.025184
1317398087259489059, 28.336076,52.595174,0.201870
1317398087369647026, 22.775872,52.088529,0.396581
1317398087469645023, 17.542518,51.577909,0.573359
1317398087569519996, 12.159043,51.016058,0.749984
1317398087679558992, 6.037447,50.361942,0.944649
1317398087779481887, 0.316282,49.712113,1.121470
1317398087889482975, -6.185993,48.953180,1.316202
1317398087989665985, -12.256416,48.198985,1.493607
1317398088089498043, -18.507320,47.409794,1.670448
1317398088199479103, -25.565386,46.497890,1.865343
1317398088299508094, -32.155228,45.634140,2.042643
1317398088409467935, -39.566023,44.644037,2.237607
1317398088509558916, -46.451153,43.708827,2.415134
1317398088619462966, -54.141074,42.640882,2.610122
1317398088719444036, -61.226141,41.641641,2.787570
1317398088819473028, -68.384953,40.600704,2.965162
1317398088929492950, -76.303054,39.408972,-3.122640
1317398089029623031, -83.532145,38.292695,-2.944730
1317398089139467000, -91.482277,37.011872,-2.749326
1317398089239500045, -98.713799,35.829665,-2.571062
1317398089339464902, -105.911390,34.596627,-2.392588
1317398089449558973, -113.816363,33.210358,-2.195669
1317398089549647092, -18.179646,91.116522,1.791719
1317398089659482955, -18.378749,91.977271,1.794954
1317398089759433984, -18.560107,92.736065,1.797803
1317398089869589090, -18.754180,93.542868,1.800733
1317398089969526052, -18.930314,94.249602,1.803131
1317398090069453954, -19.100829,94.928454,1.805800
1317398090179425954, -19.282314,95.644581,1.808550
1317398090279436111, -19.441490,96.266957,1.810981
1317398090389451026, -19.608777,96.920091,1.813306
1317398090489729881, -19.754641,97.486331,1.814304
1317398090589430093, -19.896603,98.028575,1.813682
1317398090699426889, -20.047813,98.603299,1.810871
1317398090799473047, -20.177473,99.105848,1.805883
1317398090909435033, -20.308810,99.636099,1.798333
1317398091009524106, -20.418876,100.099056,1.789295
1317398091119411945, -20.532587,100.588342,1.776975
1317398091219418048, -20.626160,101.013217,1.764221
1317398091329417943, -20.717859,101.465004,1.748325
1317398091429425001, -20.792669,101.867682,1.731251
1317398091529438972, -20.859833,102.265434,1.711255
1317398091639468908, -20.921159,102.697175,1.685748
1317398091739422082, -20.966438,103.085928,1.659833
1317398091849543094, -21.002963,103.505316,1.628382
1317398091949455976, -21.024049,103.883208,1.597407
1317398092059441089, -21.033179,104.293409,1.559622
1317398092159377098, -21.028068,104.663749,1.522318
1317398092269391059, -21.006266,105.064536,1.479037
1317398092369493961, -20.974680,105.424424,1.437845
1317398092469645977, -20.930822,105.779429,1.393473
1317398092579394102, -20.864048,106.163927,1.343185
1317398092679374933, -20.784177,106.506686,1.296925
1317398092789361000, -20.680105,106.875593,1.244297
1317398092889386892, -20.569235,107.203155,1.196677
1317398092999448060, -20.431153,107.557786,1.143852
1317398093099374055, -20.291316,107.877174,1.094477
1317398093209357976, -20.118481,108.226335,1.038456
1317398093309374094, -19.943818,108.537575,0.985740
1317398093409389019, -19.751343,108.838850,0.932789
1317398093519603013, -19.514385,109.157528,0.875239
1317398093619369983, -19.281379,109.439945,0.821630
1317398093729367017, -19.004529,109.739344,0.762038
1317398093829355955, -18.734519,109.997889,0.708183
1317398093939351081, -18.417342,110.268452,0.647448
1317398094039438009, -18.113364,110.504007,0.592624
1317398094139372110, -17.792645,110.726375,0.539799
1317398094249499082, -17.420612,110.955331,0.483459
1317398094349488973, -17.062736,111.148764,0.436353
1317398094459561109, -16.647407,111.341480,0.390724
1317398094559371948, -16.250451,111.499754,0.355565
1317398094669327974, -15.796115,111.665423,0.322390
1317398094769328117, -15.365712,111.812749,0.294809
1317398094869486093, -14.916390,111.955293,0.269759
1317398094979481935, -14.401326,112.102401,0.244011
1317398095079386949, -13.911563,112.223593,0.221747
1317398095179339885, -13.402503,112.331250,0.201791
1317398095289328098, -12.819014,112.440607,0.182503
1317398095389322996, -12.269510,112.542757,0.168432
1317398095499511957, -11.641951,112.653679,0.156292
1317398095599435091, -11.051595,112.745314,0.149720
1317398095699315071, -10.440571,112.829726,0.146626
1317398095809330940, -9.751820,112.927852,0.146731
1317398095909323930, -9.108747,113.023164,0.148352
1317398096019680976, -8.384507,113.135983,0.149912
1317398096119311094, -7.710374,113.236745,0.150950
1317398096219324111, -7.022007,113.339466,0.151673
1317398096329293966, -6.249301,113.455291,0.152242
1317398096429306030, -5.533107,113.568962,0.152909
1317398096539365053, -4.733149,113.694368,0.153419
1317398096639317035, -3.996861,113.808658,0.152832
1317398096739305973, -3.255962,113.922616,0.151584
1317398096849419116, -2.432987,114.046087,0.149881
1317398096949486970, -1.675254,114.156817,0.148467
1317398097059369087, -0.832691,114.277881,0.147078
