#time(s),x(m),y(m),theta(m)
1317398079239670991, 0.000000,0.000000,1.742379
1317398079339673995, 36539.453852,-21980.012095,1.083002
1317398079449843883, 36104.706090,-22055.634826,2.828099
1317398079549899101, 35710.080340,-22128.003900,-1.708233
1317398079649661064, 35315.107426,-22200.152161,0.040514
1317398079759722948, 34875.715010,-22279.545352,1.790846
1317398079859652042, 34470.263028,-22354.971704,-2.740701
1317398079969841003, 34019.068504,-22440.380539,-0.987636
1317398080069680929, 33603.879162,-22520.827379,0.766529
1317398080179646015, 33138.604272,-22610.293598,2.521987
1317398080279638051, 32709.117971,-22694.883225,-2.004563
1317398080379646062, 32270.565551,-22780.830179,-0.246685
1317398080489717960, 31777.786976,-22877.948299,1.512485
1317398080589646100, 31317.567407,-22969.372331,-3.010486
1317398080699630022, 30798.582444,-23072.773312,-1.249467
1317398080799640893, 30315.656536,-23168.716108,0.512247
1317398080899650096, 29823.566583,-23267.605101,2.275272
1317398081009690999, 29269.968577,-23381.157306,-2.243934
1317398081109601974, 28753.100412,-23485.081157,-0.479069
1317398081219624996, 28166.705226,-23598.978509,1.287112
1317398081319645881, 27617.877549,-23701.826325,3.053657
1317398081429598093, 26998.571663,-23819.297507,-1.462552
1317398081529654026, 26422.952324,-23930.537397,0.304828
1317398081629601955, 25834.286906,-24043.133932,2.072382
1317398081739624023, 25169.253815,-24173.056809,-2.443594
1317398081839612960, 24554.061982,-24288.243544,-0.676916
1317398081949678897, 23861.911207,-24415.790993,1.088650
1317398082049709081, 23220.786677,-24529.650100,2.853580
1317398082159647941, 22497.134204,-24665.091241,-1.665830
1317398082259574890, 21826.455765,-24788.429839,0.097737
1317398082359594106, 21139.991856,-24915.625572,1.861569
1317398082469732046, 20369.656387,-25057.720136,-2.657806
1317398082569617033, 19655.957346,-25192.272437,-0.894094
1317398082679593086, 18852.514472,-25338.697752,0.869704
1317398082779612064, 18117.515018,-25477.236934,2.633437
1317398082889604091, 17302.656097,-25631.472631,-1.885766
1317398082989825963, 16554.076056,-25773.640719,-0.121600
1317398083089576959, 15799.032171,-25917.617935,1.642921
1317398083199584007, 14959.531344,-26078.017385,-2.875414
1317398083299561023, 14188.630882,-26225.838799,-1.110216
1317398083409584999, 13332.229659,-26390.029069,0.655034
1317398083509615898, 12546.330420,-26541.632552,2.420472
1317398083609576940, 11754.096085,-26694.831865,-2.096971
1317398083719604015, 10872.604028,-26864.402641,-0.330518
1317398083819546937, 10063.828191,-27020.922174,1.436264
1317398083929575920, 9165.243319,-27195.512490,-3.079589
1317398084029737949, 8344.338351,-27357.216776,-1.311743
1317398084139569997, 7431.671377,-27529.996025,0.456488
1317398084239552021, 6597.223920,-27682.672421,2.225055
1317398084339576005, 5760.438207,-27843.277035,-2.289061
1317398084449598073, 4839.907516,-28022.765970,-0.519179
1317398084549599885, 4001.930796,-28188.425743,1.251265
1317398084659543037, 3080.430700,-28371.598689,3.022251
1317398084759555101, 2244.782908,-28542.295177,-1.489561
1317398084869721889, 1326.012940,-28733.289586,0.281926
1317398084969672918, 484.363316,-28906.498919,2.053583
1317398085069590091, -361.786496,-29079.103237,-2.458139
1317398085179549932, -1294.656363,-29269.260738,-0.686836
1317398085279772996, -2146.173991,-29440.438995,1.084350
