#time(s),x(m),y(m),theta(m)
1317354880553871682, -0.044234,0.267206,0.870010
1317354880664720669, -0.191243,1.119264,0.000036
1317354880767974471, -0.289316,1.648888,0.000051
1317354880862357838, -0.386864,2.177737,0.000053
1317354880996253637, -0.493968,2.764696,0.000089
1317354881059946777, -0.595459,3.305057,0.000123
1317354881194202829, -0.710097,3.904987,0.000189
1317354881259318946, -0.817803,4.455764,0.000204
1317354881394015619, -0.937314,5.071560,0.000254
1317354881456716449, -1.050028,5.638677,0.000296
1317354881581461125, -1.164287,6.216438,0.000322
1317354881705225943, -1.293094,6.864153,0.000358
1317354881767827154, -1.414060,7.467690,0.000379
1317354881828486496, -1.550553,8.146740,0.000371
1317354881947481815, -1.676912,8.777167,0.000348
1317354882072433530, -1.806840,9.418092,0.000324
1317354882156854581, -1.955666,10.137491,0.000289
1317354882264989698, -2.091577,10.807643,0.000253
1317354882377165708, -2.240229,11.566235,0.000254
1317354882459002108, -2.374194,12.274632,0.000259
1317354882589519609, -2.526841,13.072192,0.000263
1317354882680878321, -2.671037,13.811817,0.000276
1317354882783846002, -2.816669,14.566504,0.000304
1317354882874997913, -2.984301,15.417179,0.000317
1317354882978388268, -3.132632,16.202346,0.000329
1317354883098734653, -3.296522,17.083763,0.000333
1317354883190683100, -3.442534,17.898386,0.000345
1317354883304236765, -3.615757,18.815809,0.000341
1317354883395374264, -3.773167,19.664187,0.000346
1317354883603918029, -3.935122,20.530604,0.000366
1317354883709457874, -4.115652,21.500725,0.000373
1317354883814106647, -4.286188,22.397527,0.000372
1317354883929518323, -4.471409,23.404873,0.000368
1317354884020812147, -4.646214,24.324370,0.000373
1317354884125018655, -4.840384,25.341530,0.000384
1317354884261826744, -5.018961,26.273906,0.000402
1317354884332915286, -5.199404,27.212269,0.000421
1317354884462209430, -5.399984,28.253316,0.000441
1317354884564619350, -5.584424,29.207205,0.000451
1317354884656114196, -5.788837,30.264583,0.000465
1317354884747377248, -5.977159,31.232804,0.000478
1317354884866004289, -6.167041,32.206712,0.000511
1317354884971831806, -6.376766,33.288002,0.000531
1317354885075275490, -6.569919,34.277949,0.000539
1317354885189246856, -6.784898,35.375448,0.000517
1317354885270374368, -6.983557,36.375912,0.000499
1317354885375388809, -7.195427,37.485826,0.000488
1317354885503356241, -7.382292,38.498446,0.000483
1317354885698919017, -7.578363,39.511713,0.000486
1317354885790412199, -7.796993,40.623997,0.000490
1317354885896425842, -7.998325,41.634361,0.000500
1317354886104863027, -8.220456,42.743058,0.000484
1317354886211214112, -8.426973,43.746317,0.000448
1317354886314111723, -8.657525,44.847024,0.000414
1317354886418951687, -8.866174,45.853203,0.000423
1317354886536083268, -9.073664,46.862622,0.000424
1317354886638430432, -9.301767,47.973144,0.000426
1317354886729821299, -9.506691,48.984686,0.000432
1317354886835873214, -9.733461,50.095608,0.000427
1317354886952102353, -9.939749,51.105666,0.000430
1317354887065594698, -10.146578,52.111877,0.000412
1317354887147153351, -10.374492,53.221760,0.000403
1317354887274672909, -10.586062,54.224243,0.000398
1317354887366049214, -10.814684,55.332469,0.000396
1317354887472328067, -11.025520,56.337638,0.000399
1317354887588298934, -11.254137,57.453703,0.000401
1317354887693412112, -11.464435,58.468285,0.000419
1317354887785341331, -11.671555,59.484930,0.000449
1317354887898219434, -11.895894,60.601718,0.000473
1317354888012311285, -12.097307,61.617997,0.000495
1317354888200991906, -12.321491,62.735855,0.000514
1317354888303318659, -12.525633,63.754941,0.000509
1317354888418879844, -12.729982,64.776044,0.000530
1317354888524152885, -12.958477,65.901022,0.000560
1317354888638842925, -13.163509,66.923298,0.000584
1317354888751078905, -13.385125,68.044838,0.000601
1317354888855232121, -13.585985,69.066233,0.000624
1317354888916396944, -13.806549,70.188294,0.000643
1317354889049927709, -14.008794,71.206335,0.000667
1317354889149325848, -14.213182,72.218579,0.000697
1317354889263314039, -14.436964,73.330443,0.000779
1317354889348467603, -14.642481,74.335456,0.000910
1317354889472343005, -14.869007,75.441265,0.001051
1317354889554879552, -15.078891,76.441727,0.001203
1317354889678520158, -15.287854,77.442733,0.001352
1317354889767836595, -15.517784,78.539925,0.001492
1317354889878611607, -15.725097,79.535617,0.001657
1317354889985469242, -15.952138,80.624631,0.001812
1317354890086702994, -16.156881,81.609545,0.001943
1317354890188910697, -16.379996,82.680799,0.002123
1317354890296942859, -16.579474,83.642886,0.002299
1317354890501722857, -16.777611,84.591697,0.002637
1317354890608644876, -16.993990,85.615247,0.002719
1317354890723884363, -17.187511,86.527841,0.002660
1317354890825393507, -17.399050,87.508032,0.002444
1317354890917720961, -17.586356,88.379511,0.002068
1317354891024515702, -17.773127,89.228441,0.001596
1317354891138200367, -17.974799,90.140011,0.001053
1317354891235469200, -18.159832,90.945121,0.000537
1317354891357495140, -18.358718,91.804243,0.000126
1317354891457375424, -18.539878,92.561603,-0.000114
1317354891577821594, -18.733740,93.366882,-0.000090
1317354891680183685, -18.909682,94.072280,0.000347
1317354891774670510, -19.080011,94.749850,0.001401
1317354891887871959, -19.261298,95.464623,0.003244
1317354891973936579, -19.420300,96.085823,0.006104
1317354892068145664, -19.587406,96.737722,0.010271
1317354892173669183, -19.733110,97.302891,0.016147
1317354892287898798, -19.874918,97.844110,0.024073
1317354892395657390, -20.025963,98.417748,0.034230
1317354892508866171, -20.155481,98.919347,0.047039
1317354892633241519, -20.286675,99.448595,0.063330
1317354892719768574, -20.396621,99.910676,0.083075
1317354892813093745, -20.510208,100.399037,0.106331
1317354892927122635, -20.603679,100.823109,0.134032
1317354893029023357, -20.695278,101.274041,0.165807
1317354893139700449, -20.770007,101.675958,0.202310
1317354893246745702, -20.837098,102.072958,0.244592
