#time(s),x(m),y(m),theta(m)
1317398079544785976, -0.674060,1.369684,-0.000760
1317398079649014950, -0.161721,1.383001,1.743001
1317398079753268003, -0.265830,1.960564,1.744054
1317398079857522011, -0.361137,2.487785,1.745627
1317398079961802006, -0.456924,3.015728,1.747315
1317398080066081047, -0.563473,3.601300,1.748676
1317398080170336008, -0.662741,4.143819,1.749746
1317398080274590969, -0.773819,4.749895,1.750922
1317398080378846884, -0.877366,5.311764,1.751762
1317398080483100891, -0.992948,5.937903,1.752785
1317398080587354898, -1.101038,6.521042,1.753689
1317398080691610098, -1.211591,7.115688,1.754651
1317398080795864105, -1.335656,7.781174,1.755662
1317398081004373074, -1.452327,8.404659,1.756427
1317398081108603001, -1.583368,9.103034,1.756953
1317398081212835073, -1.821368,10.368338,1.758690
1317398081317115068, -1.960752,11.104147,1.759381
1317398081421394110, -2.091508,11.793108,1.760014
1317398081525649071, -2.239146,12.568883,1.761091
1317398081629903078, -2.378392,13.297618,1.761230
1317398081734157085, -2.534405,14.113392,1.761455
1317398081838412046, -2.822299,15.611518,1.761859
1317398081942655087, -2.830435,15.660112,1.761686
1317398082151128054, -2.998661,16.536978,1.761189
1317398082255358934, -3.155243,17.355415,1.760522
1317398082359591007, -3.482095,19.062363,1.758666
1317398082463821888, -3.659894,20.000945,1.757415
1317398082568027973, -3.824187,20.873089,1.757119
1317398082672234058, -3.991014,21.759343,1.757298
1317398082776417017, -4.176775,22.744814,1.757198
1317398082880600929, -4.347961,23.653342,1.757022
1317398082984807968, -4.537728,24.661232,1.757035
1317398083089011908, -4.712647,25.590175,1.756899
1317398083193218946, -4.905843,26.616748,1.757081
1317398083297426939, -5.083920,27.562339,1.757199
1317398083401633978, -5.262505,28.510158,1.757493
1317398083505842924, -5.460524,29.559617,1.757766
1317398083610049009, -5.642530,30.522958,1.758062
1317398083714230061, -5.843845,31.586751,1.758068
1317398083818413019, -6.209871,33.519610,1.758524
1317398083922597885, -6.216298,33.554890,1.758488
1317398084026756048, -6.423972,34.649568,1.759166
1317398084130933046, -6.615020,35.652891,1.759469
1317398084235117912, -6.826276,36.760156,1.759997
1317398084339278936, -7.020730,37.776228,1.760490
1317398084443464041, -7.235068,38.892642,1.760856
1317398084547667980, -7.431728,39.914760,1.761173
1317398084651874065, -7.628905,40.937743,1.761657
1317398084756079912, -7.845614,42.059076,1.762450
1317398084860287905, -8.043460,43.078485,1.762993
1317398084964518070, -8.260648,44.194388,1.763515
1317398085068747997, -8.458919,45.210285,1.763884
1317398085172955036, -8.677194,46.327081,1.763980
1317398085277132988, -8.876047,47.344248,1.764136
1317398085381341934, -9.075181,48.362420,1.763933
1317398085485575914, -9.293604,49.480775,1.763769
1317398085589782000, -9.492427,50.500202,1.763657
1317398085693989992, -9.709156,51.612518,1.763342
1317398085798171043, -10.100588,53.623165,1.762834
1317398085902354002, -10.104446,53.646143,1.762870
1317398086006557941, -10.321375,54.765088,1.762796
1317398086110738993, -10.518580,55.783150,1.762799
1317398086214903116, -10.735138,56.900844,1.762694
1317398086319087029, -10.932488,57.920435,1.762605
1317398086423268080, -11.148915,59.038735,1.762638
1317398086527426958, -11.346215,60.057886,1.762456
1317398086631583929, -11.543417,61.076514,1.762400
1317398086735742092, -11.760108,62.194674,1.762191
1317398086839926958, -11.957418,63.213013,1.762245
1317398086944109917, -12.174118,64.329883,1.762491
1317398087048269033, -12.567252,66.353478,1.762123
1317398087152426958, -12.571599,66.373234,1.762242
1317398087256587029, -12.790448,67.499303,1.761388
1317398087360744953, -12.988998,68.524554,1.761381
1317398087464900017, -13.206575,69.647454,1.761606
1317398087569057941, -13.404933,70.668463,1.761467
1317398087673218012, -13.622785,71.789336,1.761773
1317398087777376890, -13.821148,72.805509,1.762018
1317398087881513119, -14.019206,73.816429,1.762623
1317398087985646963, -14.237002,74.923494,1.763130
1317398088089807034, -14.435157,75.924577,1.763487
1317398088193943024, -14.652700,77.021149,1.763974
1317398088298078060, -15.045112,79.007101,1.764738
1317398088402211905, -15.050879,79.014407,1.764385
1317398088506345987, -15.269801,80.107066,1.764623
1317398088610505104, -15.468748,81.094453,1.764511
1317398088714670897, -15.685493,82.170889,1.764436
1317398088818804979, -15.882023,83.142206,1.764299
1317398088922933102, -16.095102,84.196168,1.763957
1317398089027069092, -16.286787,85.139774,1.763629
1317398089131201982, -16.475520,86.066984,1.763105
1317398089235336065, -16.678376,87.066458,1.762349
1317398089339472055, -16.859351,87.954359,1.761843
1317398089443630934, -17.052559,88.905081,1.762436
1317398089547789097, -17.388270,90.584939,1.767035
1317398089651947021, -17.395789,90.571054,1.765186
1317398089756105900, -17.580184,91.453865,1.766433
1317398089860289097, -17.744839,92.230319,1.767340
1317398089964469910, -17.920229,93.056557,1.768239
1317398090068653107, -18.076040,93.781090,1.768605
