#time(s),x(m),y(m),theta(m)
1317357627180372440, 2.595098,0.669329,0.068573
1317357627282525874, 2.724492,0.760608,0.068284
1317357627377079269, 2.875107,0.863006,0.096090
1317357627481286930, 3.022690,0.980343,0.097302
1317357627583459235, 3.199567,1.117529,0.094863
1317357627687233137, 3.384984,1.264236,0.134952
1317357627790653268, 3.555395,1.418632,0.177702
1317357627894518095, 3.748805,1.591165,0.216252
1317357627997210296, 3.918396,1.780093,0.230844
1317357628098068320, 4.103958,1.995268,0.249999
1317357628208963366, 4.285162,2.224568,0.303015
1317357628309771572, 4.437431,2.457187,0.369454
1317357628411948678, 4.605111,2.710295,0.447221
1317357628522800247, 4.759621,2.980069,0.504517
1317357628623536642, 4.878982,3.255153,0.562337
1317357628725218557, 5.007223,3.559605,0.636757
1317357628838209824, 5.123867,3.878716,0.720888
1317357628932188567, 5.205138,4.192837,0.796318
1317357629045615728, 5.290986,4.540359,0.875212
1317357629138836414, 5.342876,4.872529,0.953541
1317357629241713614, 5.400889,5.241519,1.032550
1317357629352753901, 5.452002,5.620956,1.120219
1317357629453511250, 5.474821,5.982158,1.177769
1317357629555375201, 5.496386,6.392309,1.227498
1317357629656922335, 5.494845,6.778065,1.278746
1317357629757938747, 5.497191,7.216800,1.330827
1317357629869050055, 5.492281,7.674056,1.377834
1317357629970832577, 5.475775,8.108775,1.422988
1317357630073311238, 5.453211,8.605158,1.447740
1317357630189350040, 5.417423,9.072610,1.473985
1317357630272665539, 5.381316,9.605517,1.502776
1317357630380694958, 5.339088,10.159694,1.525476
1317357630481693945, 5.289987,10.682944,1.544608
1317357630582438629, 5.236229,11.276116,1.557613
1317357630693381644, 5.182769,11.832570,1.577286
1317357630785097348, 5.127406,12.459729,1.590827
1317357630897412728, 5.070677,13.045304,1.598807
1317357630999656405, 5.009949,13.703278,1.608047
1317357631100496253, 4.946985,14.379961,1.615155
1317357631211479094, 4.884488,15.011281,1.619067
1317357631312166816, 4.820218,15.721401,1.627927
1317357631423014044, 4.758834,16.379884,1.631788
1317357631523823398, 4.690671,17.118256,1.633004
1317357631624906685, 4.626033,17.801219,1.636053
1317357631735767256, 4.556209,18.563562,1.637707
1317357631836883133, 4.485276,19.337580,1.637842
1317357631940497230, 4.418768,20.051338,1.638349
1317357632051397687, 4.350583,20.845771,1.643882
1317357632152256156, 4.287250,21.579560,1.643357
1317357632253063502, 4.216646,22.394838,1.640612
1317357632357508571, 4.145156,23.220973,1.639638
1317357632460214639, 4.080026,23.980477,1.641327
1317357632571091288, 4.010650,24.821324,1.642404
1317357632671953882, 3.945258,25.589740,1.640223
1317357632782764339, 3.869742,26.439105,1.633343
1317357632883570432, 3.792920,27.293524,1.630737
1317357632985161680, 3.716482,28.073205,1.625090
1317357633086023675, 3.633351,28.934014,1.622068
1317357633188372601, 3.555104,29.716288,1.621960
1317357633307934685, 3.473321,30.579053,1.623037
1317357633408973878, 3.390494,31.441952,1.621799
1317357633516299115, 3.311944,32.228442,1.621431
1317357633617183081, 3.227887,33.092761,1.619114
1317357633718676291, 3.149488,33.880153,1.620647
1317357633825821346, 3.069161,34.745019,1.623122
1317357633927605831, 2.989803,35.610584,1.623694
1317357634029901176, 2.916782,36.398665,1.625271
1317357634125404872, 2.840221,37.265725,1.625632
