#time(s),x(m),y(m),theta(m)
1317354880406324810, 2.795918,0.012745,0.000014
1317354880553871682, 3.359818,0.018527,0.000019
1317354880664720669, 3.946421,0.025290,0.000036
1317354880767974471, 4.528619,0.031010,0.000051
1317354880862357838, 5.113601,0.043742,0.000053
1317354880996253637, 6.330942,0.080457,0.000089
1317354881059946777, 6.946578,0.097169,0.000123
1317354881194202829, 8.247205,0.129142,0.000189
1317354881259318946, 8.919904,0.146024,0.000204
1317354881394015619, 10.283972,0.184280,0.000254
1317354881456716449, 10.990485,0.206038,0.000296
1317354881581461125, 12.485174,0.250172,0.000322
1317354881705225943, 14.044952,0.291438,0.000358
1317354881767827154, 14.848583,0.310794,0.000379
1317354881828486496, 15.657154,0.330587,0.000371
1317354881947481815, 16.484797,0.359922,0.000348
1317354882072433530, 17.333824,0.379454,0.000324
1317354882156854581, 18.191019,0.393397,0.000289
1317354882264989698, 19.075612,0.417868,0.000253
1317354882377165708, 19.968675,0.447250,0.000254
1317354882459002108, 20.888845,0.475552,0.000259
1317354882589519609, 21.819794,0.507903,0.000263
1317354882680878321, 22.767389,0.538644,0.000276
1317354882783846002, 23.723799,0.572525,0.000304
1317354882874997913, 24.688885,0.604869,0.000317
1317354882978388268, 25.658730,0.631505,0.000329
1317354883098734653, 26.641439,0.659794,0.000333
1317354883190683100, 27.629628,0.696656,0.000345
1317354883304236765, 28.627122,0.722373,0.000341
1317354883395374264, 29.639092,0.751106,0.000346
1317354883603918029, 31.675346,0.812064,0.000366
1317354883709457874, 32.710148,0.835720,0.000373
1317354883814106647, 33.753777,0.869635,0.000372
1317354883929518323, 34.803880,0.897262,0.000368
1317354884020812147, 35.868136,0.928427,0.000373
1317354884125018655, 36.921509,0.965624,0.000384
1317354884261826744, 37.990844,1.001110,0.000402
1317354884332915286, 39.069044,1.032116,0.000421
1317354884462209430, 40.141826,1.077256,0.000441
1317354884564619350, 41.213827,1.115592,0.000451
1317354884656114196, 42.291353,1.151627,0.000465
1317354884747377248, 43.378935,1.189622,0.000478
1317354884866004289, 44.440721,1.233016,0.000511
1317354884971831806, 45.514662,1.274281,0.000531
1317354885075275490, 46.588414,1.317856,0.000539
1317354885189246856, 47.672807,1.353529,0.000517
1317354885270374368, 48.755297,1.389797,0.000499
1317354885375388809, 49.838692,1.430693,0.000488
1317354885503356241, 50.920677,1.476669,0.000483
1317354885698919017, 53.070737,1.545241,0.000486
1317354885790412199, 54.142654,1.581151,0.000490
1317354885896425842, 55.213770,1.612003,0.000500
1317354886104863027, 57.372910,1.688223,0.000484
1317354886211214112, 58.461774,1.721893,0.000448
1317354886314111723, 59.550324,1.756593,0.000414
1317354886418951687, 60.637054,1.783605,0.000423
1317354886536083268, 61.716780,1.818669,0.000424
1317354886638430432, 62.785829,1.853817,0.000426
1317354886729821299, 63.863047,1.898243,0.000432
1317354886835873214, 64.950101,1.927298,0.000427
1317354886952102353, 66.036472,1.976285,0.000430
1317354887065594698, 67.126584,2.009555,0.000412
1317354887147153351, 68.208703,2.049009,0.000403
1317354887274672909, 69.294059,2.083683,0.000398
1317354887366049214, 70.400331,2.114473,0.000396
1317354887472328067, 71.492123,2.151266,0.000399
1317354887588298934, 72.569103,2.180820,0.000401
1317354887693412112, 73.651548,2.214338,0.000419
1317354887785341331, 74.745200,2.249584,0.000449
1317354887898219434, 75.814433,2.294543,0.000473
1317354888012311285, 76.897425,2.333571,0.000495
1317354888200991906, 79.048076,2.416634,0.000514
1317354888303318659, 80.117228,2.454858,0.000509
1317354888418879844, 81.186468,2.495349,0.000530
1317354888524152885, 82.233343,2.539674,0.000560
1317354888638842925, 83.286686,2.577695,0.000584
1317354888751078905, 84.326683,2.617259,0.000601
1317354888855232121, 85.349393,2.652588,0.000624
1317354888916396944, 86.371360,2.693904,0.000643
1317354889049927709, 87.371943,2.741896,0.000667
1317354889149325848, 88.353281,2.782215,0.000697
1317354889263314039, 89.315694,2.818541,0.000779
1317354889348467603, 90.242189,2.863903,0.000910
1317354889472343005, 91.150864,2.911875,0.001051
1317354889554879552, 92.042889,2.963002,0.001203
1317354889678520158, 92.904939,3.009776,0.001352
1317354889767836595, 93.745751,3.059417,0.001492
1317354889878611607, 94.558481,3.113706,0.001657
1317354889985469242, 95.345183,3.163404,0.001812
1317354890086702994, 96.103015,3.214019,0.001943
1317354890188910697, 96.834048,3.274014,0.002123
1317354890296942859, 97.530920,3.327816,0.002299
1317354890501722857, 98.831671,3.443573,0.002637
1317354890608644876, 99.434830,3.496200,0.002719
1317354890723884363, 100.023764,3.545981,0.002660
1317354890825393507, 100.576762,3.596131,0.002444
1317354890917720961, 101.111252,3.633153,0.002068
1317354891024515702, 101.621375,3.667645,0.001596
1317354891138200367, 102.110568,3.686185,0.001053
1317354891235469200, 102.574502,3.701592,0.000537
1317354891357495140, 103.015260,3.709884,0.000126
1317354891457375424, 103.439713,3.702976,-0.000114
1317354891577821594, 103.849365,3.691669,-0.000090
1317354891680183685, 104.240792,3.668832,0.000347
1317354891774670510, 104.635844,3.638288,0.001401
1317354891887871959, 105.018035,3.597419,0.003244
1317354891973936579, 105.392535,3.537589,0.006104
1317354892068145664, 105.761444,3.474323,0.010271
1317354892173669183, 106.118515,3.396173,0.016147
1317354892287898798, 106.467629,3.298155,0.024073
1317354892395657390, 106.811879,3.183928,0.034230
1317354892508866171, 107.147620,3.065746,0.047039
1317354892633241519, 107.468000,2.935760,0.063330
1317354892719768574, 107.786652,2.789716,0.083075
1317354892813093745, 108.088372,2.627115,0.106331
1317354892927122635, 108.379996,2.434375,0.134032
1317354893029023357, 108.660978,2.243981,0.165807
1317354893139700449, 108.932838,2.047549,0.202310
1317354893246745702, 109.184086,1.835616,0.244592
1317354893335376558, 109.426326,1.603979,0.294209
1317354893449172197, 109.664282,1.367576,0.352221
1317354893542485735, 109.899401,1.102591,0.417230
1317354893656433016, 110.115335,0.806197,0.488673
1317354893747694126, 110.313198,0.506670,0.568510
1317354893873351094, 110.506024,0.195778,0.656417
1317354893958046060, 110.680898,-0.129771,0.749934
1317354894073379249, 110.829862,-0.479577,0.848655
1317354894167262635, 110.980152,-0.838074,0.948500
1317354894274458101, 111.123593,-1.206306,1.044605
1317354894376052910, 111.236900,-1.593133,1.135269
1317354894479171573, 111.353546,-2.002601,1.216146
1317354894596701831, 111.459952,-2.422851,1.284287
1317354894688367832, 111.554491,-2.844753,1.339355
1317354894783677101, 111.640818,-3.289306,1.383852
1317354894886110770, 111.716001,-3.760010,1.421412
1317354894998193843, 111.778175,-4.242165,1.454072
1317354895092220962, 111.825979,-4.754361,1.482521
1317354895196568521, 111.853224,-5.274270,1.508909
1317354895394464566, 111.863011,-6.368696,1.550918
1317354895506993682, 111.878225,-6.943692,1.565489
1317354895612100606, 111.888883,-7.539062,1.577067
1317354895727709838, 111.891578,-8.173361,1.584065
1317354895821297181, 111.880284,-8.826178,1.587231
1317354895915105680, 111.875462,-9.492049,1.586930
1317354896037095931, 111.875364,-10.171398,1.585117
1317354896119186939, 111.865841,-10.855236,1.583332
1317354896246233112, 111.859495,-11.560214,1.582446
1317354896338218105, 111.865254,-12.282080,1.581655
1317354896433255887, 111.866742,-13.015522,1.581048
1317354896524696385, 111.858783,-13.769129,1.580294
1317354896630503499, 111.855427,-14.544616,1.579705
1317354896735212507, 111.845016,-15.328654,1.579942
1317354896838870410, 111.842592,-16.120536,1.580813
1317354896956757208, 111.842581,-16.907114,1.581842
1317354897068799850, 111.830350,-17.707878,1.583107
1317354897182927035, 111.820211,-18.521033,1.584162
1317354897275526888, 111.818594,-19.337876,1.585717
1317354897372378783, 111.818629,-20.159261,1.586742
1317354897485306635, 111.809204,-20.983638,1.587474
1317354897586615830, 111.802089,-21.823671,1.588707
1317354897667687995, 111.799819,-22.671490,1.589961
1317354897806317588, 111.793392,-23.533236,1.591000
1317354897903373814, 111.782164,-24.386593,1.591125
1317354898007823008, 111.778835,-25.233461,1.591464
1317354898119690592, 111.767276,-26.091943,1.591249
1317354898224367979, 111.752981,-26.926698,1.590379
1317354898327426099, 111.740824,-27.757172,1.589594
1317354898422020107, 111.730256,-28.584196,1.589202
1317354898529265211, 111.722270,-29.425127,1.588237
1317354898641745404, 111.705480,-30.264514,1.587322
1317354898728995843, 111.684200,-31.099339,1.586517
1317354898847152607, 111.676547,-31.916813,1.586910
1317354898965013311, 111.672203,-32.738068,1.587935
1317354899046902074, 111.663338,-33.545552,1.589699
1317354899152070108, 111.650553,-34.349314,1.591771
1317354899259565600, 111.637896,-35.160140,1.593501
1317354899382977083, 111.625886,-35.965971,1.595343
1317354899477958431, 111.605848,-36.758769,1.596869
1317354899580700036, 111.587047,-37.551774,1.598865
1317354899665111141, 111.568907,-38.339687,1.600646
1317354899786831857, 111.546288,-39.126630,1.602515
1317354899882025156, 111.521628,-39.908322,1.603381
1317354899997331682, 111.493589,-40.680249,1.604268
1317354900091077989, 111.467141,-41.437878,1.605552
1317354900186615381, 111.443698,-42.189295,1.606695
1317354900308486104, 111.422124,-42.940187,1.607663
1317354900415684327, 111.396623,-43.678208,1.608653
1317354900518244510, 111.380525,-44.396905,1.609215
1317354900643000069, 111.352933,-45.096655,1.609371
1317354900736947916, 111.333684,-45.783262,1.609645
1317354900851382193, 111.311845,-46.479158,1.609581
1317354900936379919, 111.286980,-47.181396,1.609598
1317354901048033764, 111.261533,-47.880975,1.609622
1317354901134258548, 111.239073,-48.572469,1.609930
1317354901215905525, 111.211960,-49.258884,1.610296
1317354901341622629, 111.192809,-49.940569,1.610059
1317354901437330229, 111.171892,-50.610898,1.610219
1317354901528844686, 111.149280,-51.285674,1.611329
