#time(s),x(m),y(m),theta(rad)
1317398079440555096, -0.089309,0.555702,1.730378
1317398079544785976, -0.182493,1.117876,1.732236
1317398079649014950, -0.274157,1.666595,1.734288
1317398079753268003, -0.360116,2.216053,1.735835
1317398079857522011, -0.453650,2.773789,1.737186
1317398079961802006, -0.550900,3.348244,1.738495
1317398080066081047, -0.648881,3.925361,1.739853
1317398080170336008, -0.747336,4.503599,1.740810
1317398080274590969, -0.856506,5.095505,1.742136
1317398080378846884, -0.969401,5.697368,1.743492
1317398080483100891, -1.079031,6.305725,1.744738
1317398080587354898, -1.199909,6.935529,1.745869
1317398080691610098, -1.318840,7.585852,1.746645
1317398080795864105, -1.439479,8.253031,1.747597
1317398081004373074, -1.695180,9.602709,1.749707
1317398081108603001, -1.822499,10.295404,1.750829
1317398081212835073, -1.961520,11.010409,1.752080
1317398081317115068, -2.101822,11.757030,1.752700
1317398081421394110, -2.245557,12.522245,1.753314
1317398081525649071, -2.389133,13.295568,1.754021
1317398081629903078, -2.529132,14.087745,1.754325
1317398081734157085, -2.682382,14.889077,1.754016
1317398081838412046, -2.834541,15.697257,1.753437
1317398081942655087, -2.991807,16.524740,1.752514
1317398082151128054, -3.309247,18.249247,1.750829
1317398082255358934, -3.472076,19.129923,1.750423
1317398082359591007, -3.646514,20.038353,1.750706
1317398082463821888, -3.825341,20.948005,1.750916
1317398082568027973, -4.008149,21.878639,1.750816
1317398082672234058, -4.186886,22.816945,1.750792
1317398082776417017, -4.368262,23.770786,1.750945
1317398082880600929, -4.549011,24.728182,1.751023
1317398082984807968, -4.729136,25.689324,1.751282
1317398083089011908, -4.919438,26.665536,1.751684
1317398083193218946, -5.103753,27.654779,1.751871
1317398083297426939, -5.294171,28.654773,1.752217
1317398083401633978, -5.476647,29.639372,1.752211
1317398083505842924, -5.667460,30.649031,1.752411
1317398083610049009, -5.857952,31.672927,1.752844
1317398083714230061, -6.056731,32.699503,1.753523
1317398083818413019, -6.247512,33.739853,1.754129
1317398083922597885, -6.445085,34.782526,1.754683
1317398084026756048, -6.640488,35.816406,1.755355
1317398084130933046, -6.840169,36.869432,1.755821
1317398084235117912, -7.037986,37.925997,1.756366
1317398084339278936, -7.248654,38.989040,1.757115
1317398084443464041, -7.454493,40.044376,1.757826
1317398084547667980, -7.658641,41.107328,1.758305
1317398084651874065, -7.865232,42.164974,1.758967
1317398084756079912, -8.069440,43.214555,1.759600
1317398084860287905, -8.273565,44.262727,1.759749
1317398084964518070, -8.489709,45.313794,1.759479
1317398085068747997, -8.693264,46.388660,1.759680
1317398085172955036, -8.903662,47.445452,1.759395
1317398085277132988, -9.111781,48.501839,1.759215
1317398085381341934, -9.318988,49.568501,1.758989
1317398085485575914, -9.527578,50.620768,1.758550
