#time(s),x(m),y(m),theta(m)
1317357627076760860, 2.062974,0.431937,0.029832
1317357627180372440, 2.259710,0.517743,0.038479
1317357627282525874, 2.464748,0.614594,0.048774
1317357627377079269, 2.671188,0.719090,0.061295
1317357627481286930, 2.872094,0.828081,0.075630
1317357627583459235, 3.077252,0.954879,0.091774
1317357627687233137, 3.278915,1.081805,0.111100
1317357627790653268, 3.486182,1.222080,0.134105
1317357627894518095, 3.692007,1.374615,0.161635
1317357627997210296, 3.889622,1.547390,0.195071
1317357628098068320, 4.079845,1.745346,0.236108
1317357628208963366, 4.269001,1.953374,0.284784
1317357628309771572, 4.455120,2.162930,0.341963
1317357628411948678, 4.640930,2.396495,0.408789
1317357628522800247, 4.809953,2.628781,0.484668
1317357628623536642, 4.970107,2.884543,0.568871
1317357628725218557, 5.130051,3.166344,0.662770
1317357628838209824, 5.262848,3.458786,0.764688
1317357628932188567, 5.394415,3.776525,0.871095
1317357629045615728, 5.507099,4.115070,0.979058
1317357629138836414, 5.595034,4.462064,1.083972
1317357629241713614, 5.673492,4.826059,1.182254
1317357629352753901, 5.723506,5.188174,1.270849
1317357629453511250, 5.770939,5.570781,1.347596
1317357629555375201, 5.786165,5.968244,1.412603
1317357629656922335, 5.788672,6.382257,1.466821
1317357629757938747, 5.786479,6.798061,1.510727
1317357629869050055, 5.771761,7.252726,1.548166
1317357629970832577, 5.749953,7.727230,1.579841
1317357630073311238, 5.707796,8.206647,1.605553
1317357630189350040, 5.659776,8.699659,1.624467
1317357630272665539, 5.612025,9.225378,1.638780
1317357630380694958, 5.548535,9.786424,1.649577
1317357630481693945, 5.472162,10.344046,1.657119
1317357630582438629, 5.399892,10.921930,1.662808
1317357630693381644, 5.324878,11.518423,1.665928
1317357630785097348, 5.251156,12.123851,1.666679
1317357630897412728, 5.191950,12.761364,1.665975
1317357630999656405, 5.113428,13.394384,1.664619
1317357631100496253, 5.031746,14.046159,1.663115
1317357631211479094, 4.957865,14.716649,1.661717
1317357631312166816, 4.886755,15.406308,1.660537
1317357631423014044, 4.817094,16.108592,1.659168
1317357631523823398, 4.743437,16.835422,1.657612
1317357631624906685, 4.659507,17.573689,1.656202
1317357631735767256, 4.582615,18.321369,1.654742
1317357631836883133, 4.506891,19.074050,1.653186
1317357631940497230, 4.437251,19.837830,1.652108
1317357632051397687, 4.359805,20.626070,1.650928
1317357632152256156, 4.290541,21.434610,1.649998
1317357632253063502, 4.222623,22.237187,1.649028
1317357632357508571, 4.156499,23.035351,1.648454
1317357632460214639, 4.083979,23.845192,1.648125
1317357632571091288, 4.018906,24.666615,1.648396
1317357632671953882, 3.943031,25.503322,1.648787
1317357632782764339, 3.865700,26.348325,1.648995
1317357632883570432, 3.789267,27.209091,1.649231
1317357632985161680, 3.708420,28.071409,1.649836
1317357633086023675, 3.621158,28.916662,1.650286
1317357633188372601, 3.548883,29.737882,1.650349
1317357633307934685, 3.472247,30.570005,1.650686
1317357633408973878, 3.383827,31.409600,1.650809
1317357633516299115, 3.302810,32.257720,1.650806
1317357633617183081, 3.222478,33.092326,1.650692
1317357633718676291, 3.145916,33.913768,1.650532
1317357633825821346, 3.067296,34.738931,1.650155
1317357633927605831, 2.987114,35.575511,1.649798
1317357634029901176, 2.911365,36.416083,1.649128
1317357634125404872, 2.834410,37.251054,1.648849
1317357634227961397, 2.765951,38.083914,1.648677
1317357634341859323, 2.694107,38.921169,1.648595
1317357634436406184, 2.623773,39.749030,1.648487
1317357634549462622, 2.547406,40.566261,1.648162
1317357634653869425, 2.472050,41.393477,1.647819
1317357634759062369, 2.395802,42.233082,1.647626
1317357634861302734, 2.317003,43.061764,1.647872
1317357634962573119, 2.248360,43.884435,1.648558
1317357635063483676, 2.176565,44.708666,1.649360
1317357635174989210, 2.106130,45.536832,1.650136
1317357635277137266, 2.039515,46.361615,1.651787
1317357635378253968, 1.964916,47.177643,1.653352
1317357635489146641, 1.889928,48.001182,1.655066
1317357635706810266, 1.724719,49.630679,1.657091
1317357635799860901, 1.638733,50.426644,1.657983
1317357635913707728, 1.553084,51.224745,1.659001
1317357636015751405, 1.468263,52.025985,1.659831
1317357636216050992, 1.297751,53.598324,1.661341
1317357636331795543, 1.212550,54.374791,1.661820
1317357636432871557, 1.132601,55.154563,1.662014
1317357636526030436, 1.050042,55.927576,1.662529
1317357636628607425, 0.965749,56.701596,1.662662
1317357636733626166, 0.883657,57.475050,1.663084
1317357636838266955, 0.807825,58.225186,1.663579
1317357636940202805, 0.729609,58.968915,1.663745
1317357637041695789, 0.650257,59.705558,1.663808
1317357637152668585, 0.562763,60.429901,1.663615
1317357637253695304, 0.485509,61.142977,1.662668
1317357637356463144, 0.409548,61.830046,1.660730
1317357637457454809, 0.340536,62.505017,1.657471
1317357637568553064, 0.280744,63.162728,1.652663
1317357637669433232, 0.223469,63.804389,1.646690
1317357637772132057, 0.167054,64.438835,1.639008
1317357637884100779, 0.113049,65.057135,1.628390
1317357637985274783, 0.071824,65.651148,1.614990
1317357638086134139, 0.049238,66.232987,1.597363
1317357638198864921, 0.043247,66.793779,1.575636
1317357638303645191, 0.046738,67.327864,1.549258
1317357638405058773, 0.074395,67.841136,1.517130
1317357638505912046, 0.121497,68.324095,1.476977
1317357638617441011, 0.172616,68.792200,1.430396
1317357638718405716, 0.251823,69.251605,1.375707
1317357638829667413, 0.348734,69.686522,1.310416
1317357638930539542, 0.477475,70.127209,1.234971
1317357639031581247, 0.637257,70.542615,1.151211
1317357639142493068, 0.817636,70.941094,1.059879
1317357639243502902, 1.019412,71.324394,0.962032
1317357639345491288, 1.235355,71.705287,0.863200
1317357639456421096, 1.485671,72.071814,0.768989
1317357639557441065, 1.750016,72.420174,0.680447
1317357639671316621, 2.036461,72.740292,0.596217
1317357639762354645, 2.325393,73.042957,0.516612
1317357639873210463, 2.611963,73.338189,0.442152
1317357639974241847, 2.919517,73.625523,0.372367
1317357640077947885, 3.259228,73.899730,0.308490
1317357640189294895, 3.639323,74.165893,0.251915
1317357640290414008, 4.045884,74.410994,0.203015
1317357640391443746, 4.488107,74.657445,0.161295
1317357640496307108, 4.959235,74.889875,0.127480
1317357640598435225, 5.457051,75.120570,0.100930
1317357640709715809, 5.973429,75.325566,0.080056
1317357640810837619, 6.526491,75.517639,0.064270
1317357640912021865, 7.103838,75.701072,0.052543
1317357641013138668, 7.690359,75.867278,0.044180
1317357641115044525, 8.291629,76.027073,0.037674
1317357641216191170, 8.918263,76.189155,0.032580
1317357641327337858, 9.541321,76.348714,0.028529
1317357641428350710, 10.193666,76.502914,0.025237
1317357641529357040, 10.837608,76.636520,0.022375
1317357641630308720, 11.498515,76.763954,0.019448
1317357641741428624, 12.183511,76.898467,0.016585
1317357641833669337, 12.889953,77.016627,0.014022
1317357641946805910, 13.613001,77.132402,0.011928
1317357642040870696, 14.328474,77.240960,0.010291
1317357642152035815, 15.069477,77.336700,0.008952
1317357642253009198, 15.836742,77.435240,0.007905
1317357642364227064, 16.614147,77.528271,0.007036
1317357642469998755, 17.393234,77.633328,0.006421
1317357642581515073, 18.159836,77.724691,0.005870
1317357642729448885, 18.921685,77.804064,0.005520
